baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	Colour
ENSG00000125144.13	49.2769209979048	-6.68289844513757	1.49547311937643	4.46875196788837	7.86772966285927e-06	0.000103661264478192	Significant
ENSG00000275110.1	14.8071707767381	-6.40211807884028	4.78670518844092	1.33747908567679	0.181066304624763	0.429056441772744	Not
ENSG00000151632.17	7.86895295786876	-5.48824568011579	1.77772703470787	3.08722631369424	0.00202033717626416	0.0144414924647719	Significant
ENSG00000212747.4	7.32713132616831	-5.38878546622048	1.79885338464612	2.99567797587939	0.00273835449055624	0.0185560867264349	Significant
ENSG00000279253.1	7.03326819979799	-5.32542597803623	1.81497762969069	2.93415516032767	0.0033445696802375	0.0218220174603061	Significant
ENSG00000167363.14	5.46173031355816	-4.95867436653813	1.91354630828266	2.59135320899987	0.00955993161200763	0.0518894132862957	Not
ENSG00000178776.5	7.40529975665094	-3.86400529572967	1.77812712890933	2.17307594766847	0.0297746016453763	0.125837849632001	Not
ENSG00000196337.11	7.31109989008403	-3.84005911010673	1.78003462568787	2.15729461364989	0.0309827164333862	0.129474509962638	Not
ENSG00000183688.4	6.95767799151739	-3.77539780200177	1.82644509466681	2.06707434733509	0.0387271488807358	0.151607758221969	Not
ENSG00000213412.3	6.9117733704772	-3.75128152668463	1.79847922800028	2.08580753576768	0.0369960605385531	0.146610331308713	Not
ENSG00000204983.14	6.76364649504878	-3.72782649606195	1.8163612242184	2.05235965531365	0.040134722364523	0.155640386805538	Not
ENSG00000124249.7	6.69163943066612	-3.71266829244728	1.80846990898167	2.05293340741171	0.0400790364508724	0.155530128353655	Not
ENSG00000185634.12	13.3723495858176	-3.70458482107292	1.27968625172717	2.8949164813429	0.00379259425297634	0.024253022326164	Significant
ENSG00000175874.10	6.47541513201326	-3.65056118868814	1.8190401931357	2.00686120211298	0.0447644439779946	0.167683567910629	Not
ENSG00000157227.13	5.66549856612999	-3.44663353571916	1.86874693813518	1.84435541559124	0.0651313603471913	0.218857012721016	Not
ENSG00000273084.1	5.56209154622503	-3.41653994339538	1.88096127743215	1.81637973327104	0.0693121418833058	0.227888550043219	Not
ENSG00000269486.2	5.49929163518043	-3.39501188972929	1.89808902873237	1.78864733863228	0.0736716289370464	0.238072263323964	Not
ENSG00000179988.14	5.41959643413142	-3.38371647275463	1.883305356262	1.79669030383403	0.0723847991245151	0.23537910470638	Not
ENSG00000128596.17	5.39382824194392	-3.36875356322251	1.89104273325809	1.78142646063765	0.0748428086964903	0.240627591960142	Not
ENSG00000214128.11	16.0852284859333	-3.36070560771497	1.0938311310957	3.07241722435575	0.00212332713898645	0.0150778178558384	Significant
ENSG00000110975.8	5.32334019423296	-3.35482069073232	1.91461595227462	1.752215992323	0.0797366747616212	0.251650144595417	Not
ENSG00000235269.1	5.37726720309447	-3.35157691903046	1.89671491538214	1.7670430552581	0.0772210180022053	0.246022939707216	Not
ENSG00000227063.5	5.30883552871506	-3.33255345166864	1.89802529704181	1.75580033462285	0.079122507246113	0.2503916663866	Not
ENSG00000186007.10	9.43419616412752	-3.14667166100767	1.3871392955275	2.26846119286893	0.0233011117223735	0.104609246834626	Not
ENSG00000131620.17	9.1162869677463	-3.10302314251091	1.41681939713402	2.19013315937641	0.028514581013642	0.121959760457725	Not
ENSG00000127954.12	26.0413052045188	-3.02319768390068	0.813685496170654	3.71543759613312	0.000202852326102653	0.00194006424033999	Significant
ENSG00000063180.9	17.3412400463837	-3.01685190521614	0.992159175367415	3.04069344931366	0.00236034010537278	0.0164137594718307	Significant
ENSG00000198417.7	28.8741521633889	-2.94395638852001	0.763989921881994	3.85339688940914	0.000116490332711827	0.00119910450790764	Significant
ENSG00000125999.11	8.15652140425802	-2.91379833691195	1.43799950890908	2.02628604450808	0.0427354805184552	0.162459332355818	Not
ENSG00000132329.11	19.3605950493673	-2.84115233002986	0.921134634353858	3.0844050631348	0.00203959693286427	0.0145447613272827	Significant
ENSG00000112293.15	7.59065370254666	-2.81768758776219	1.46748678197506	1.92007697948048	0.054848176607643	0.193421422804689	Not
ENSG00000167080.8	21.5778911899777	-2.71795640776045	0.849154065719016	3.20078124510778	0.00137055541420819	0.0103863906038615	Significant
ENSG00000167552.14	147.435728028439	-2.71629400328965	0.331180040850231	8.20186505296687	2.36685905415727e-16	9.48689845288342e-15	Significant
ENSG00000173531.15	7.14899795190288	-2.6981009060489	1.46160206316961	1.84598870926456	0.0648938448534497	0.218350231480846	Not
ENSG00000147234.10	7.11196623304578	-2.69241431406671	1.45916978697095	1.84516862815246	0.0650130125428904	0.21862153504189	Not
ENSG00000103355.13	14.0444056351408	-2.67642977561053	1.04040110324474	2.57249801760442	0.0100967534171976	0.0542189200025846	Not
ENSG00000266258.1	7.01213460314407	-2.66830522287116	1.46468993616211	1.8217543228725	0.0684922713045611	0.22612774998541	Not
ENSG00000277586.2	79.4610003239517	-2.64565938281531	0.444663418842052	5.94980218904642	2.68466746892819e-09	5.93099563201372e-08	Significant
ENSG00000269473.1	10.0965154573475	-2.60225052265555	1.2156291338787	2.14066153083429	0.0323013428868721	0.133503505619111	Not
ENSG00000004660.14	13.1773209215478	-2.5683869158636	1.05608644639182	2.43198549194401	0.0150163087826507	0.0740814371578957	Not
ENSG00000185585.20	9.85624508868377	-2.5641772530864	1.2223938797286	2.09766859570314	0.035934430896785	0.143804339322383	Not
ENSG00000177469.13	131.237353598267	-2.56002780053429	0.340663676910136	7.51482466153739	5.69872587336331e-14	1.88845277790336e-12	Significant
ENSG00000185567.7	952.082822392496	-2.55507666428773	0.142076367486604	17.9838259485951	2.60855451653482e-72	6.25680433323137e-70	Significant
ENSG00000198910.13	101.366753911477	-2.55020655573361	0.398087006450505	6.40615371617431	1.49236507180345e-10	3.79010564706251e-09	Significant
ENSG00000181104.7	193.722328903836	-2.53207070170352	0.282686101964	8.95718142530398	3.3308338666616e-19	1.59784858917852e-17	Significant
ENSG00000206799.1	6.39267414372616	-2.52703319829521	1.53289301133115	1.64853853440219	0.0992422099913291	0.291363713848645	Not
ENSG00000187398.12	73.4703028818892	-2.52108534497202	0.461669288258863	5.46080367286293	4.73983980858917e-08	9.05483177592807e-07	Significant
