mock_slope	cov1_slope	cov2_slope	oddSample	Ratio	sig_mock	sig_cov1	sig_cov2
ENSG00000270379.5	0	0	0.396168611586259	cov2_slope	Inf	Not	Not	Significant
ENSG00000111602.12	0.0180878199074302	0.0180862263728955	0.00984911321891453	cov2_slope	5169.7367672395	Not	Significant	Significant
ENSG00000137877.10	0.0185834157316398	0.0184799130100819	0.127081736413523	cov2_slope	1042.09750898312	Not	Not	Significant
ENSG00000164684.13	0.0141736163108983	0.0143978269666806	0.105438719936507	cov2_slope	404.406482206596	Not	Not	Significant
ENSG00000239857.7	-0.00241052998642021	-0.00265945785895331	0.0349581584413027	cov2_slope	150.062319575455	Not	Not	Significant
ENSG00000067533.6	-0.0281826729383625	-0.0282415073135406	-0.0205125333592734	cov2_slope	130.394162691284	Significant	Not	Not
ENSG00000169715.14	-0.224580231451727	-0.222317356604372	-0.0160347337323551	cov2_slope	94.0610146191281	Significant	Not	Not
ENSG00000173230.15	0.0224699050101935	0.022678539894011	0.00478960172738791	cov2_slope	84.7680264609109	Significant	Not	Not
ENSG00000116830.12	0.0241693884507764	0.0242788265782741	0.0149101335942148	cov2_slope	84.6239469615128	Significant	Not	Not
ENSG00000256453.2	0.0081033957305278	0.010198440583396	0.178821036479884	cov2_slope	79.6005286083312	Not	Not	Significant
ENSG00000055917.15	0.017170960084917	0.0172617475936222	0.0101926093644263	cov2_slope	76.8727383726316	Significant	Not	Not
ENSG00000137309.19	0.0114340332934318	0.0109303275426377	0.0400933029184381	cov2_slope	56.8623390278951	Not	Not	Significant
ENSG00000131153.9	-0.0179082771486829	-0.0172550355228801	-0.0532218184932569	cov2_slope	54.0017508850445	Not	Not	Significant
ENSG00000198663.16	-0.00753467177367205	-0.00714793419427669	-0.028089880930414	cov2_slope	53.1344146095017	Not	Not	Significant
ENSG00000153147.6	0.0200173770272719	0.0204602502366515	0.0431545098182294	cov2_slope	51.2102349584081	Significant	Not	Significant
ENSG00000100852.13	0.000404605311970015	-0.000186777237269273	-0.0301177995374609	cov2_slope	50.596559002938	Not	Not	Significant
ENSG00000152894.14	-0.00570405645056895	-0.00529671902307524	-0.0247560083382566	cov2_slope	46.7610720636848	Not	Not	Significant
ENSG00000138772.13	-0.0349078987753998	-0.0346395894083223	-0.0222681689157519	cov2_slope	46.1266149140702	Significant	Not	Not
ENSG00000161091.13	-0.0276807163181345	-0.026812937172291	0.0111890057823738	cov2_slope	43.8167510076623	Significant	Not	Not
ENSG00000131016.17	-0.0362691682149045	-0.0364541711716482	-0.0444903103935128	cov2_slope	43.4239678773767	Significant	Significant	Significant
ENSG00000101294.17	-0.0186287932206841	-0.0189425092624058	-0.00539720308150651	cov2_slope	42.1851455087204	Significant	Not	Not
ENSG00000058085.14	-0.0214264917453469	-0.0216874722933724	-0.0319518174114575	cov2_slope	39.3195744415735	Significant	Significant	Significant
ENSG00000108306.13	-0.00416599424537435	-0.00321601723280619	-0.0408104453097467	cov2_slope	38.5507675139381	Not	Not	Significant
ENSG00000131871.15	-0.0324435465206817	-0.033106759689868	-0.00785397265856372	cov2_slope	37.0993275212951	Significant	Not	Not
ENSG00000214106.8	0.0554198914986535	0.0537483196873533	0.11720880075198	cov2_slope	36.7892552973966	Not	Not	Significant
ENSG00000183765.21	0.0554158696241695	0.057074338857293	0.117137080757688	cov2_slope	36.046342128282	Significant	Not	Significant
ENSG00000052344.16	-0.0159270527421045	-0.0152082085474129	0.0100664417614337	cov2_slope	35.1665412582719	Not	Not	Significant
ENSG00000146757.13	0.0154392517263968	0.0174369505445575	0.0865718504532297	cov2_slope	34.5097086280444	Not	Not	Significant
ENSG00000119862.13	0.0014501174308499	0.00251803556028934	-0.0353876056463565	cov2_slope	34.4812105242279	Not	Not	Significant
ENSG00000020129.16	-0.0240554210998105	-0.0245381007421439	-0.00782978587042932	cov2_slope	33.6263053355225	Significant	Not	Not
ENSG00000152601.17	0.0183620504378327	0.0185920500043432	0.0260982340441503	cov2_slope	32.6303408840528	Significant	Not	Significant
ENSG00000142541.17	-0.0079371369345421	-0.00789274009710036	-0.00644444492392803	cov2_slope	32.6219457773087	Not	Significant	Not
ENSG00000164116.16	-0.0324972277503841	-0.0331365761300574	-0.0539538891582394	cov2_slope	32.5324162988027	Significant	Not	Significant
ENSG00000071859.15	-0.0344491012990614	-0.0341866628094977	-0.0260425129386983	cov2_slope	31.040830857119	Significant	Significant	Not
ENSG00000121749.15	0.0255424371003069	0.0259624299811696	0.0135845396651893	cov2_slope	28.4793107298333	Significant	Not	Not
ENSG00000178038.17	-0.0473928258904753	-0.0469692008546867	-0.059343457291135	cov2_slope	28.1925687688201	Significant	Not	Significant
ENSG00000123689.6	-0.08853422319005	-0.0828758952383693	0.0730028771610773	cov2_slope	27.6943270080678	Significant	Not	Significant
ENSG00000100578.15	0.0389765505312209	0.0399984654982435	0.0116066966958654	cov2_slope	26.8058554111558	Significant	Not	Not
ENSG00000112312.10	0.0122350456583724	0.0126341985846227	0.0225821846107116	cov2_slope	24.9186662131294	Not	Significant	Not
ENSG00000116717.13	-0.0494071867035362	-0.047121863943845	0.008010500382072	cov2_slope	24.1653975086011	Significant	Not	Not
ENSG00000070961.15	0.021945948206581	0.0236566942711689	-0.0181461242986321	cov2_slope	23.4443968913907	Significant	Not	Not
ENSG00000080824.18	0.00648527686588045	0.00712653362437727	-0.00801803306956326	cov2_slope	22.6176477531618	Not	Not	Significant
ENSG00000164211.13	0.0610303098822645	0.0606621176827683	0.0692681737322292	cov2_slope	22.3616116582974	Significant	Not	Significant
ENSG00000078618.21	0.021488847367353	0.0200425643710565	-0.0120359767797438	cov2_slope	22.1872993822709	Significant	Not	Not
ENSG00000278053.5	0.0132066659435249	0.0123350975472024	0.0319386014745768	cov2_slope	21.4841482400311	Not	Not	Significant
ENSG00000149428.19	-0.00451719760752349	-0.00348645837041731	0.0185897347882051	cov2_slope	21.4160795869878	Not	Not	Significant
ENSG00000123485.12	0.0527962055656385	0.053739785003206	0.0331820653806483	cov2_slope	20.8068212682709	Significant	Significant	Not
