mock_slope	cov1_slope	cov2_slope	oddSample	Ratio	sig_mock	sig_cov1	sig_cov2
ENSG00000069399.15	-0.0382381228398615	0.0961896391842677	0.0961387754193056	mock_slope	2660.11528256496	Not	Not	Significant
ENSG00000164053.21	-0.0096070153251869	0.0334061537928696	0.0333889534826282	mock_slope	2501.76983844364	Not	Not	Significant
ENSG00000173821.19	0.00202546543737768	0.112943795800074	0.112861775262752	mock_slope	1362.67714778624	Not	Significant	Significant
ENSG00000139211.6	-0.0100738906300987	-0.0442343816194106	-0.0442083483522125	mock_slope	1312.65612349298	Not	Significant	Significant
ENSG00000102024.18	0.00794732084940765	-0.019617451914884	-0.0196395671851195	mock_slope	1246.77240040315	Not	Not	Significant
ENSG00000166803.13	0.0305156107972508	0.0130051481041045	0.0130230310082124	mock_slope	977.850702439373	Significant	Significant	Not
ENSG00000075624.15	-0.00589459715655965	-0.0299855039322405	-0.0299548641626642	mock_slope	785.677706781841	Not	Significant	Significant
ENSG00000145391.13	-0.0127066046204079	-0.0429466021590125	-0.0429917306170662	mock_slope	670.753982385771	Not	Not	Significant
ENSG00000115415.18	0.0116804054187585	0.105236128432284	0.105438004373106	mock_slope	466.643719432423	Not	Significant	Significant
ENSG00000108219.15	0.00075260579164272	-0.024494860141779	-0.0245510225556536	mock_slope	449.726909904632	Not	Not	Significant
ENSG00000044090.8	0.00267189994333001	-0.0330820370411312	-0.033168178584275	mock_slope	415.375523597593	Not	Not	Significant
ENSG00000136444.10	-0.0195563586643609	-0.0563865111094078	-0.0562862960233442	mock_slope	367.105350732563	Not	Not	Significant
ENSG00000007062.11	-0.00282835844013757	-0.0428695918450108	-0.0430000189106318	mock_slope	307.365433391331	Not	Significant	Significant
ENSG00000137628.17	0.00417808434356848	0.129902934367606	0.129446927934621	mock_slope	277.731738649246	Not	Significant	Significant
ENSG00000176619.13	0.0371433887927143	0.0040202265198082	0.00415116262691404	mock_slope	251.845987855113	Significant	Not	Not
ENSG00000231500.7	-0.017817864515392	-0.0240321695020454	-0.0240569466687315	mock_slope	250.842095750924	Not	Significant	Significant
ENSG00000117009.12	-0.0673740502636535	0.217442271601608	0.216269986979433	mock_slope	250.316255670481	Not	Not	Significant
