Sample_geo_accession	Sample_title	Time	Infection
GSM1366711	ECL003_LoCov_0h_2	0h	LoCoV
GSM1366712	ECL003_mock_7h_2	7h	Mock
GSM1366713	ECL003_LoCov_3h_3	3h	LoCoV
GSM1366714	ECL003_mock_3h_1	3h	Mock
GSM1366715	ECL003_LoCov_18h_3	18h	LoCoV
GSM1366716	ECL003_LoCov_7h_1	7h	LoCoV
GSM1366717	ECL003_LoCov_0h_1	0h	LoCoV
GSM1366718	ECL003_LoCov_7h_2	7h	LoCoV
GSM1366719	ECL003_LoCov_12h_1	12h	LoCoV
GSM1366720	ECL003_mock_3h_2	3h	Mock
GSM1366721	ECL003_mock_7h_3	7h	Mock
GSM1366722	ECL003_mock_12h_2	12h	Mock
GSM1366723	ECL003_mock_0h_1	0h	Mock
GSM1366724	ECL003_LoCov_18h_2	18h	LoCoV
GSM1366725	ECL003_LoCov_3h_2	3h	LoCoV
GSM1366726	ECL003_LoCov_18h_1	18h	LoCoV
GSM1366727	ECL003_LoCov_12h_2	12h	LoCoV
GSM1366728	ECL003_LoCov_24h_3	24h	LoCoV
GSM1366729	ECL003_LoCov_0h_3	0h	LoCoV
GSM1366730	ECL003_mock_18h_3	18h	Mock
GSM1366731	ECL003_mock_12h_3	12h	Mock
GSM1366732	ECL003_mock_7h_1	7h	Mock
GSM1366733	ECL003_mock_18h_2	18h	Mock
GSM1366734	ECL003_LoCov_24h_2	24h	LoCoV
GSM1366735	ECL003_mock_3h_3	3h	Mock
GSM1366736	ECL003_LoCov_3h_1	3h	LoCoV
GSM1366737	ECL003_LoCov_24h_1	24h	LoCoV
GSM1366738	ECL003_mock_12h_1	12h	Mock
GSM1366739	ECL003_mock_18h_1	18h	Mock
GSM1366740	ECL003_LoCov_12h_3	12h	LoCoV
GSM1366741	ECL003_mock_0h_2	0h	Mock
GSM1366742	ECL003_LoCov_7h_3	7h	LoCoV
GSM1366743	ECL003_mock_0h_3	0h	Mock
