ID	REFSEQ	GENE_SYMBOL	GENE_NAME	ENSEMBL_ID
GE_BrightCorner				
DarkCorner				
A_23_P117082	NM_015987	HEBP1	heme binding protein 1	ENST00000014930
A_33_P3246448	NM_080671	KCNE4	potassium voltage-gated channel, Isk-related family, member 4	ENST00000281830
A_33_P3318220	NM_178466	BPIFA3	BPI fold containing family A, member 3	ENST00000375454
A_33_P3236322		LOC100129869	uncharacterized LOC100129869	
A_33_P3319925	XM_001133269	IRG1	immunoresponsive 1 homolog (mouse)	ENST00000449753
A_21_P0000509	NR_024244	SNAR-G2	small ILF3/NF90-associated RNA G2	
A_21_P0000744	NR_038269	LOC100506844	uncharacterized LOC100506844	ENST00000551421
A_24_P215804	NM_016951	CKLF	chemokine-like factor	
A_23_P110167	NM_002413	MGST2	microsomal glutathione S-transferase 2	
A_33_P3211513	NM_001162407	CLK1	CDC-like kinase 1	ENST00000357369
A_23_P103349	NM_022375	OCLM	oculomedin	
A_32_P61480	NR_026941	CASC2	cancer susceptibility candidate 2 (non-protein coding)	
A_33_P3788124	NR_026646	PWRN1	Prader-Willi region non-protein coding RNA 1	
A_33_P3414202	NM_001170704	MBNL3	muscleblind-like 3 (Drosophila)	
A_33_P3316686	NM_016230	CYB5R4	cytochrome b5 reductase 4	ENST00000369679
A_33_P3300975	NM_014620	HOXC4	homeobox C4	ENST00000430889
A_33_P3263061	NM_016282	AK3	adenylate kinase 3	
A_33_P3261373				ENST00000319813
A_24_P278460	NM_032228	FAR1	fatty acyl CoA reductase 1	ENST00000354817
A_21_P0013109		XLOC_l2_013153		
A_21_P0014651	XR_110904	LOC100129203	uncharacterized LOC100129203	
A_24_P286898		MAPK8	mitogen-activated protein kinase 8	ENST00000374189
A_23_P340890	NM_001195753	THAP3	THAP domain containing, apoptosis associated protein 3	ENST00000307896
A_21_P0005185		XLOC_005939		
A_21_P0010885	NM_030969	TMEM14B	transmembrane protein 14B	ENST00000480194
A_21_P0004635		XLOC_005179		ENST00000434947
A_23_P89762	NM_194449	PHLPP1	PH domain and leucine rich repeat protein phosphatase 1	ENST00000400316
A_33_P3379396	NM_006121	KRT1	keratin 1	ENST00000252244
A_23_P109034	NM_002999	SDC4	syndecan 4	ENST00000372733
A_21_P0013603		XLOC_l2_015038		ENST00000443993
A_33_P3261031				
A_33_P3364776				ENST00000396843
A_33_P3732466		DKFZp547G183	uncharacterized LOC55525	
A_33_P3402773				
A_33_P3636315		LOC286087	uncharacterized LOC286087	
A_33_P3365553	NR_024420	LOC389634	uncharacterized LOC389634	ENST00000420040
A_23_P103837	NM_001127320	UBAP2L	ubiquitin associated protein 2-like	ENST00000475373
A_33_P3402035	NM_004295	TRAF4	TNF receptor-associated factor 4	ENST00000262395
A_21_P0013668	NM_001166137	FAM75C2	family with sequence similarity 75, member C2	
A_23_P61637	NM_002108	HAL	histidine ammonia-lyase	ENST00000546999
A_23_P11543	NM_000147	FUCA1	fucosidase, alpha-L- 1, tissue	ENST00000374479
A_23_P103765	NM_002001	FCER1A	Fc fragment of IgE, high affinity I, receptor for; alpha polypeptide	ENST00000368115
A_21_P0002012		XLOC_001975		ENST00000418358
A_33_P3219429	NM_005871	SMNDC1	survival motor neuron domain containing 1	ENST00000369592
A_21_P0014120	XR_108496	LOC100507291	uncharacterized LOC100507291	
A_33_P3372397				ENST00000397190
A_24_P120109	NM_198963	DHX57	DEAH (Asp-Glu-Ala-Asp/His) box polypeptide 57	ENST00000355320
A_21_P0013733	NM_174937	TCERG1L	transcription elongation regulator 1-like	ENST00000483040
A_21_P0008159		XLOC_010597		
A_23_P118888	NM_000430	PAFAH1B1	platelet-activating factor acetylhydrolase 1b, regulatory subunit 1 (45kDa)	ENST00000397193
A_19_P00803093		Q3AHP4		
A_33_P3350056	NM_005952	MT1X	metallothionein 1X	ENST00000394485
A_32_P202703	NM_001242480	LOC389831	uncharacterized LOC389831	ENST00000400890
A_24_P787889	NM_001242313	TMEM191B	transmembrane protein 191B	
A_33_P3390097				
A_24_P238257	NM_001145080	C17orf104	chromosome 17 open reading frame 104	ENST00000359945
A_33_P3227225				
A_21_P0014626	NM_007282	RNF13	ring finger protein 13	ENST00000392894
A_23_P203658	NM_007166	PICALM	phosphatidylinositol binding clathrin assembly protein	
A_33_P3354678	NR_002777	TRIM78P	tripartite motif containing 78, pseudogene	
A_23_P102060	NM_006751	SSFA2	sperm specific antigen 2	ENST00000491720
A_23_P206140	NM_018602	DNAJA4	DnaJ (Hsp40) homolog, subfamily A, member 4	ENST00000394852
A_23_P14389	NM_014977	ACIN1	apoptotic chromatin condensation inducer 1	
A_23_P106016	NM_002742	PRKD1	protein kinase D1	ENST00000331968
A_33_P3323435	NM_033141	MAP3K9	mitogen-activated protein kinase kinase kinase 9	ENST00000005198
A_21_P0011375	NM_003104	SORD	sorbitol dehydrogenase	ENST00000267814
A_21_P0001890		XLOC_001602		
A_33_P3228014	NM_206998	SCGB1D4	secretoglobin, family 1D, member 4	ENST00000358585
A_21_P0014742	XR_132472	LOC100287813	uncharacterized LOC100287813	
A_33_P3241482	NM_012279	ZNF346	zinc finger protein 346	ENST00000261948
A_21_P0001555		XLOC_000934		
A_33_P3349661	NM_203487	PCDH9	protocadherin 9	ENST00000328454
A_21_P0010319		XLOC_014042		
A_23_P145541	NM_014845	FIG4	FIG4 homolog, SAC1 lipid phosphatase domain containing (S. cerevisiae)	ENST00000419951
A_23_P111865	NM_145914	ZSCAN21	zinc finger and SCAN domain containing 21	ENST00000292450
A_23_P151294	NM_000619	IFNG	interferon, gamma	ENST00000229135
A_23_P144096	NM_145071	CISH	cytokine inducible SH2-containing protein	ENST00000348721
A_33_P3299510	NM_001008271	SCXA	scleraxis homolog A (mouse)	ENST00000340210
A_23_P76705	NM_006322	TUBGCP3	tubulin, gamma complex associated protein 3	ENST00000261965
A_23_P63896	NM_000043	FAS	Fas (TNF receptor superfamily, member 6)	
A_21_P0005541		XLOC_006644		
A_24_P355944	NM_004093	EFNB2	ephrin-B2	ENST00000245323
A_23_P101374	NM_030622	CYP2S1	cytochrome P450, family 2, subfamily S, polypeptide 1	ENST00000310054
A_32_P199252	NM_001017963	HSP90AA1	heat shock protein 90kDa alpha (cytosolic), class A member 1	ENST00000557089
A_21_P0001204		XLOC_001128		ENST00000432976
A_23_P203191	NM_000039	APOA1	apolipoprotein A-I	ENST00000236850
A_19_P00811812	NM_201274	MPRIP	myosin phosphatase Rho interacting protein	
A_24_P54390	NM_170672	RASGRP3	RAS guanyl releasing protein 3 (calcium and DAG-regulated)	ENST00000407811
A_33_P3311205	NM_001031698	PRPF40B	PRP40 pre-mRNA processing factor 40 homolog B (S. cerevisiae)	ENST00000261897
A_32_P89827	NR_002815	TPTE2P6	transmembrane phosphoinositide 3-phosphatase and tensin homolog 2 pseudogene 6	ENST00000453498
A_23_P44264	NM_004098	EMX2	empty spiracles homeobox 2	ENST00000442245
A_33_P3424489				ENST00000390305
A_21_P0004959		XLOC_005512		
A_33_P3245927	NM_024623	OGFOD2	2-oxoglutarate and iron-dependent oxygenase domain containing 2	ENST00000406539
A_23_P101521	NM_152358	IZUMO2	IZUMO family member 2	ENST00000486050
A_21_P0004017		XLOC_004428		ENST00000507323
A_33_P3379526				
A_23_P98183	NM_005343	HRAS	v-Ha-ras Harvey rat sarcoma viral oncogene homolog	ENST00000311189
A_21_P0012132		XLOC_l2_008731		
A_21_P0007347		XLOC_009428		
A_33_P3265679	XR_112616	LOC389199	uncharacterized LOC389199	ENST00000429019
ERCC-00096_179				
A_21_P0000880	NR_040012	SPAG5-AS1	SPAG5 antisense RNA 1 (non-protein coding)	ENST00000414744
