ID	REFSEQ	GENE_SYMBOL	GENE_NAME	ENSEMBL_ID	ENSEMBL_GENE_ID	ENTREZ_ID
GE_BrightCorner	NA	NA	NA	NA	NA	NA
DarkCorner	NA	NA	NA	NA	NA	NA
A_23_P117082	NM_015987	HEBP1	heme binding protein 1	ENST00000014930	ENSG00000013583	50865
A_33_P3246448	NM_080671	KCNE4	potassium voltage-gated channel, Isk-related family, member 4	ENST00000281830	ENSG00000152049	23704
A_33_P3318220	NM_178466	BPIFA3	BPI fold containing family A, member 3	ENST00000375454	ENSG00000131059	128861
A_33_P3236322	NA	LOC100129869	uncharacterized LOC100129869	NA	NA	NA
A_33_P3319925	XM_001133269	IRG1	immunoresponsive 1 homolog (mouse)	ENST00000449753	ENSG00000102794	730249
A_21_P0000509	NR_024244	SNAR-G2	small ILF3/NF90-associated RNA G2	NA	NA	NA
A_21_P0000744	NR_038269	LOC100506844	uncharacterized LOC100506844	ENST00000551421	ENSG00000257698	NA
A_24_P215804	NM_016951	CKLF	chemokine-like factor	NA	NA	NA
A_23_P110167	NM_002413	MGST2	microsomal glutathione S-transferase 2	NA	NA	NA
A_33_P3211513	NM_001162407	CLK1	CDC-like kinase 1	ENST00000357369	NA	NA
A_23_P103349	NM_022375	OCLM	oculomedin	NA	NA	NA
A_32_P61480	NR_026941	CASC2	cancer susceptibility candidate 2 (non-protein coding)	NA	NA	NA
A_33_P3788124	NR_026646	PWRN1	Prader-Willi region non-protein coding RNA 1	NA	NA	NA
A_33_P3414202	NM_001170704	MBNL3	muscleblind-like 3 (Drosophila)	NA	NA	NA
A_33_P3316686	NM_016230	CYB5R4	cytochrome b5 reductase 4	ENST00000369679	ENSG00000065615	51167
A_33_P3300975	NM_014620	HOXC4	homeobox C4	ENST00000430889	ENSG00000198353	3221
A_33_P3263061	NM_016282	AK3	adenylate kinase 3	NA	NA	NA
A_33_P3261373	NA	NA	NA	ENST00000319813	ENSG00000176540	79346
A_24_P278460	NM_032228	FAR1	fatty acyl CoA reductase 1	ENST00000354817	ENSG00000197601	84188
A_21_P0013109	NA	XLOC_l2_013153	NA	NA	NA	NA
A_21_P0014651	XR_110904	LOC100129203	uncharacterized LOC100129203	NA	NA	NA
A_24_P286898	NA	MAPK8	mitogen-activated protein kinase 8	ENST00000374189	ENSG00000107643	5599
A_23_P340890	NM_001195753	THAP3	THAP domain containing, apoptosis associated protein 3	ENST00000307896	ENSG00000041988	90326
A_21_P0005185	NA	XLOC_005939	NA	NA	NA	NA
A_21_P0010885	NM_030969	TMEM14B	transmembrane protein 14B	ENST00000480194	ENSG00000137210	81853
A_21_P0004635	NA	XLOC_005179	NA	ENST00000434947	ENSG00000234540	NA
A_23_P89762	NM_194449	PHLPP1	PH domain and leucine rich repeat protein phosphatase 1	ENST00000400316	NA	NA
A_33_P3379396	NM_006121	KRT1	keratin 1	ENST00000252244	ENSG00000167768	3848
A_23_P109034	NM_002999	SDC4	syndecan 4	ENST00000372733	ENSG00000124145	6385
A_21_P0013603	NA	XLOC_l2_015038	NA	ENST00000443993	ENSG00000227619	NA
A_33_P3261031	NA	NA	NA	NA	NA	NA
A_33_P3364776	NA	NA	NA	ENST00000396843	ENSG00000196235	6829
A_33_P3732466	NA	DKFZp547G183	uncharacterized LOC55525	NA	NA	NA
A_33_P3402773	NA	NA	NA	NA	NA	NA
A_33_P3636315	NA	LOC286087	uncharacterized LOC286087	NA	NA	NA
A_33_P3365553	NR_024420	LOC389634	uncharacterized LOC389634	ENST00000420040	ENSG00000226091	NA
